#gene	refseq	ensembl
OR4F5	NM_001005484.2	ENST00000641515.2
FXR2	NM_004860.4	ENST00000250113.12
SHBG	NM_001040.5	ENST00000380450.9
SAT2	NM_133491.5	ENST00000269298.10
ATP1B2	NM_001678.5	ENST00000250111.9
TP53	NM_000546.6	ENST00000269305.9
WRAP53	NM_001143992.2	ENST00000396463.7
EFNB3	NM_001406.4	ENST00000226091.3
DNAH2	NM_020877.5	ENST00000572933.6
KDM6B	NM_001348716.2	ENST00000448097.7
TMEM88	NM_203411.2	ENST00000301599.7
NAA38	NM_001320925.4	ENST00000575771.6
CYB5D1	NM_144607.6	ENST00000332439.5
CHD3	NM_001005273.3	ENST00000330494.12
RNF227	NM_001358699.2	ENST00000324348.9
KCNAB3	NM_004732.4	ENST00000303790.3
TRAPPC1	NM_021210.5	ENST00000303731.9
CNTROB	NM_053051.5	ENST00000563694.6
GUCY2D	NM_000180.4	ENST00000254854.5
ALOX15B	NM_001141.3	ENST00000380183.9
ALOX12B	NM_001139.3	ENST00000647874.1
ALOXE3	NM_021628.3	ENST00000448843.7
HES7	NM_001165967.2	ENST00000541682.7
PER1	NM_002616.3	ENST00000317276.9
VAMP2	NM_014232.3	ENST00000316509.11
TMEM107	NM_183065.4	ENST00000437139.7
BORCS6	NM_017622.3	ENST00000389017.6
AURKB	NM_004217.4	ENST00000585124.6
CTC1	NM_025099.6	ENST00000651323.1
PFAS	NM_012393.3	ENST00000314666.11
SLC25A35	NM_001320870.2	ENST00000577745.2
RANGRF	NM_016492.5	ENST00000226105.11
ARHGEF15	NM_173728.4	ENST00000361926.8
ODF4	NM_153007.5	ENST00000328248.7
KRBA2	NM_001304947.3	ENST00000396267.3
RPL26	NM_000987.5	ENST00000648839.1
RNF222	NM_001146684.3	ENST00000399398.3
NDEL1	NM_030808.5	ENST00000334527.12
MYH10	NM_001256012.3	ENST00000360416.8
CCDC42	NM_144681.3	ENST00000293845.8
SPDYE4	NM_001394956.1	ENST00000689094.1
MFSD6L	NM_152599.4	ENST00000329805.6
PIK3R6	NM_001010855.4	ENST00000619866.5
PIK3R5	NM_001142633.3	ENST00000447110.6
NTN1	NM_004822.3	ENST00000173229.7
STX8	NM_004853.3	ENST00000306357.9
CFAP52	NM_145054.5	ENST00000352665.10
USP43	NM_153210.5	ENST00000285199.12
DHRS7C	NM_001105571.3	ENST00000571134.2
GSG1L2	NM_001310219.2	ENST00000399363.5
GLP2R	NM_004246.3	ENST00000262441.10
RCVRN	NM_002903.3	ENST00000226193.6
GAS7	NM_201433.2	ENST00000432992.7
MYH13	NM_003802.3	ENST00000252172.9
MYH8	NM_002472.3	ENST00000403437.2
MYH4	NM_017533.2	ENST00000255381.2
MYH1	NM_005963.4	ENST00000226207.6
MYH2	NM_017534.6	ENST00000245503.10
MYH3	NM_002470.4	ENST00000583535.6
SCO1	NM_004589.4	ENST00000255390.10
ADPRM	NM_020233.5	ENST00000379774.5
TMEM220	NM_001004313.3	ENST00000341871.8
TMEM238L	NM_001388428.1	ENST00000581851.2
PIRT	NM_001101387.2	ENST00000580256.3
SHISA6	NM_207386.4	ENST00000441885.8
DNAH9	NM_001372.4	ENST00000262442.9
ZNF18	NM_001303281.2	ENST00000580306.7
MAP2K4	NM_003010.4	ENST00000353533.10
MYOCD	NM_001146312.3	ENST00000425538.6
ARHGAP44	NM_014859.6	ENST00000379672.10
ELAC2	NM_018127.7	ENST00000338034.9
HS3ST3A1	NM_006042.3	ENST00000284110.2
COX10	NM_001303.4	ENST00000261643.8
CDRT15	NM_001007530.3	ENST00000420162.7
HS3ST3B1	NM_006041.3	ENST00000360954.3
PMP22	NM_000304.4	ENST00000312280.9
TEKT3	NM_031898.3	ENST00000395930.6
CDRT4	NM_001204477.2	ENST00000619038.5
TVP23C	NM_001135036.2	ENST00000518321.6
FBXW10B	NM_006382.4	ENST00000395906.8
TRIM16	NM_001348119.1	ENST00000649191.2
ZNF286A	NM_001130842.2	ENST00000583566.6
TBC1D26	NM_001388465.1	ENST00000437605.4
ADORA2B	NM_000676.4	ENST00000304222.3
ZSWIM7	NM_001042697.2	ENST00000399277.6
TTC19	NM_017775.4	ENST00000261647.10
NCOR1	NM_006311.4	ENST00000268712.8
PIGL	NM_004278.4	ENST00000225609.10
CENPV	NM_181716.3	ENST00000299736.5
UBB	NM_018955.4	ENST00000302182.8
TRPV2	NM_016113.5	ENST00000338560.12
LRRC75A	NM_001113567.3	ENST00000470794.2
ZNF287	NM_020653.4	ENST00000395825.4
ZNF624	NM_020787.4	ENST00000311331.12
CCDC144A	NM_001382000.1	ENST00000399273.5
TNFRSF13B	NM_012452.3	ENST00000261652.7
MPRIP	NM_001364716.4	ENST00000651222.2
PLD6	NM_178836.4	ENST00000321560.4
FLCN	NM_144997.7	ENST00000285071.9
COPS3	NM_003653.4	ENST00000268717.10
NT5M	NM_020201.4	ENST00000389022.9
MED9	NM_018019.3	ENST00000268711.4
RASD1	NM_016084.5	ENST00000225688.4
PEMT	NM_148172.3	ENST00000255389.10
RAI1	NM_030665.4	ENST00000353383.6
SREBF1	NM_004176.5	ENST00000261646.11
TOM1L2	NM_001082968.2	ENST00000379504.8
DRC3	NM_031294.4	ENST00000399187.6
ATPAF2	NM_145691.4	ENST00000474627.8
GID4	NM_024052.5	ENST00000268719.9
DRG2	NM_001388.5	ENST00000225729.8
MYO15A	NM_016239.4	ENST00000647165.2
ALKBH5	NM_017758.4	ENST00000399138.5
LLGL1	NM_004140.4	ENST00000316843.9
FLII	NM_002018.4	ENST00000327031.9
MIEF2	NM_139162.4	ENST00000323019.9
TOP3A	NM_004618.5	ENST00000321105.10
SMCR8	NM_144775.3	ENST00000406438.5
SHMT1	NM_004169.5	ENST00000316694.8
EVPLL	NM_001145127.2	ENST00000399134.5
LGALS9C	NM_001040078.3	ENST00000328114.11
TBC1D28	NM_001039397.3	ENST00000405044.7
FOXO3B	NM_001368135.1	ENST00000395675.7
FBXW10	NM_001267585.2	ENST00000395665.9
TVP23B	NM_016078.6	ENST00000307767.13
PRPSAP2	NM_002767.4	ENST00000268835.7
SLC5A10	NM_001042450.4	ENST00000395645.4
FAM83G	NM_001039999.3	ENST00000388995.11
GRAP	NM_006613.4	ENST00000284154.10
GRAPL	NM_001129778.3	ENST00000344415.9
EPN2	NM_014964.5	ENST00000314728.10
B9D1	NM_015681.6	ENST00000261499.11
MAPK7	NM_002749.4	ENST00000395604.8
MFAP4	NM_002404.3	ENST00000299610.5
RNF112	NM_007148.5	ENST00000461366.2
SLC47A1	NM_018242.3	ENST00000270570.8
ALDH3A2	NM_000382.3	ENST00000176643.11
SLC47A2	NM_001099646.3	ENST00000433844.4
ALDH3A1	NM_000691.5	ENST00000225740.11
ULK2	NM_014683.4	ENST00000395544.9
AKAP10	NM_007202.4	ENST00000225737.11
SPECC1	NM_001243439.2	ENST00000395527.9
LGALS9B	NM_001367292.2	ENST00000423676.8
CDRT15L2	NM_001190790.2	ENST00000399044.1
USP22	NM_015276.2	ENST00000261497.9
DHRS7B	NM_015510.5	ENST00000395511.8
TMEM11	NM_003876.3	ENST00000317635.6
NATD1	NM_152914.3	ENST00000611551.1
MAP2K3	NM_145109.3	ENST00000342679.9
KCNJ12	NM_021012.5	ENST00000583088.6
KCNJ18	NM_001194958.2	ENST00000567955.3
WSB1	NM_015626.10	ENST00000262394.7
KSR1	NM_001394583.1	ENST00000644974.2
LGALS9	NM_009587.3	ENST00000395473.7
NOS2	NM_000625.4	ENST00000313735.11
LYRM9	NM_001076680.3	ENST00000379102.8
NLK	NM_016231.5	ENST00000407008.8
TMEM97	NM_014573.3	ENST00000226230.8
IFT20	NM_001267776.2	ENST00000395418.8
TNFAIP1	NM_021137.5	ENST00000226225.7
POLDIP2	NM_015584.5	ENST00000540200.6
TMEM199	NM_152464.3	ENST00000292114.8
SEBOX	NM_001080837.4	ENST00000536498.6
VTN	NM_000638.4	ENST00000226218.9
SARM1	NM_015077.4	ENST00000585482.6
SLC46A1	NM_080669.6	ENST00000612814.5
SLC13A2	NM_003984.4	ENST00000314669.10
FOXN1	NM_001369369.1	ENST00000579795.6
UNC119	NM_005148.4	ENST00000335765.9
PIGS	NM_033198.4	ENST00000308360.8
ALDOC	NM_005165.3	ENST00000226253.9
SPAG5	NM_006461.4	ENST00000321765.10
RSKR	NM_001174103.2	ENST00000301037.11
BLTP2	NM_014680.5	ENST00000528896.7
SDF2	NM_006923.4	ENST00000247020.9
SUPT6H	NM_003170.5	ENST00000314616.11
PROCA1	NM_001366301.1	ENST00000682792.1
RAB34	NM_031934.6	ENST00000395245.9
RPL23A	NM_000984.6	ENST00000422514.7
TLCD1	NM_138463.4	ENST00000292090.8
NEK8	NM_178170.3	ENST00000268766.11
TRAF4	NM_004295.4	ENST00000262395.10
FAM222B	NM_001077498.3	ENST00000581407.6
ERAL1	NM_005702.4	ENST00000254928.10
FLOT2	NM_004475.3	ENST00000394908.9
DHRS13	NM_144683.4	ENST00000378895.9
PHF12	NM_001033561.2	ENST00000332830.9
SEZ6	NM_178860.5	ENST00000317338.17
PIPOX	NM_016518.3	ENST00000323372.9
MYO18A	NM_078471.4	ENST00000527372.7
CRYBA1	NM_005208.5	ENST00000225387.8
NUFIP2	NM_020772.3	ENST00000225388.9
TAOK1	NM_020791.4	ENST00000261716.8
ABHD15	NM_198147.3	ENST00000307201.5
TP53I13	NM_138349.4	ENST00000301057.8
GIT1	NM_014030.4	ENST00000225394.8
ANKRD13B	NM_152345.5	ENST00000394859.8
CORO6	NM_032854.4	ENST00000388767.8
SSH2	NM_001282129.2	ENST00000540801.6
EFCAB5	NM_198529.4	ENST00000394835.8
NSRP1	NM_032141.4	ENST00000247026.10
SLC6A4	NM_001045.6	ENST00000650711.1
BLMH	NM_000386.4	ENST00000261714.11
TMIGD1	NM_206832.3	ENST00000328886.5
CPD	NM_001304.5	ENST00000225719.9
GOSR1	NM_001007025.2	ENST00000451249.7
CRLF3	NM_015986.4	ENST00000324238.7
ATAD5	NM_024857.5	ENST00000321990.5
TEFM	NM_024683.4	ENST00000581216.6
ADAP2	NM_018404.3	ENST00000330889.8
RNF135	NM_032322.4	ENST00000328381.10
NF1	NM_001042492.3	ENST00000358273.9
OMG	NM_002544.5	ENST00000247271.5
EVI2B	NM_006495.4	ENST00000330927.5
EVI2A	NM_014210.4	ENST00000462804.3
RAB11FIP4	NM_032932.6	ENST00000621161.5
COPRS	NM_018405.4	ENST00000302362.11
UTP6	NM_018428.3	ENST00000261708.9
SUZ12	NM_015355.4	ENST00000322652.10
LRRC37B	NM_001321350.2	ENST00000543378.7
RHOT1	NM_001033566.3	ENST00000545287.7
RHBDL3	NM_138328.3	ENST00000269051.9
C17orf75	NM_022344.4	ENST00000577809.6
ZNF207	NM_001098507.2	ENST00000394670.9
PSMD11	NM_002815.4	ENST00000261712.8
CDK5R1	NM_003885.3	ENST00000313401.4
MYO1D	NM_015194.3	ENST00000318217.10
H2BN1	NM_001401340.1	ENST00000704639.1
TMEM98	NM_015544.3	ENST00000579849.6
SPACA3	NM_173847.5	ENST00000269053.8
ASIC2	NM_183377.2	ENST00000225823.7
CCL2	NM_002982.4	ENST00000225831.4
CCL7	NM_006273.4	ENST00000378569.2
CCL11	NM_002986.3	ENST00000305869.4
CCL8	NM_005623.3	ENST00000394620.2
CCL13	NM_005408.3	ENST00000225844.7
CCL1	NM_002981.2	ENST00000225842.4
TMEM132E	NM_001304438.2	ENST00000631683.2
CCT6B	NM_006584.4	ENST00000314144.10
ZNF830	NM_052857.4	ENST00000361952.5
LIG3	NM_013975.4	ENST00000378526.9
RFFL	NM_001017368.2	ENST00000394597.7
RAD51D	NM_002878.4	ENST00000345365.11
FNDC8	NM_017559.4	ENST00000158009.6
NLE1	NM_018096.5	ENST00000442241.9
UNC45B	NM_001267052.2	ENST00000394570.7
SLC35G3	NM_152462.2	ENST00000297307.7
SLFN5	NM_144975.4	ENST00000299977.9
SLFN11	NM_001376007.1	ENST00000685675.1
SLFN12	NM_018042.5	ENST00000304905.10
SLFN13	NM_144682.6	ENST00000285013.11
SLFN12L	NM_001363830.2	ENST00000628453.4
SLFN14	NM_001129820.2	ENST00000674182.1
PEX12	NM_000286.3	ENST00000225873.9
AP2B1	NM_001030006.2	ENST00000610402.5
RASL10B	NM_033315.4	ENST00000603017.2
GAS2L2	NM_139285.4	ENST00000604641.6
MMP28	NM_024302.5	ENST00000605424.6
C17orf50	NM_145272.4	ENST00000605587.2
TAF15	NM_139215.3	ENST00000605844.6
HEATR9	NM_152781.4	ENST00000604834.6
CCL5	NM_002985.3	ENST00000605140.6
RDM1	NM_145654.4	ENST00000620284.5
LYZL6	NM_020426.4	ENST00000615905.5
CCL16	NM_004590.4	ENST00000611905.2
CCL14	NM_032963.4	ENST00000618404.5
CCL15	NM_032965.6	ENST00000617897.2
CCL23	NM_005064.6	ENST00000615050.2
CCL18	NM_002988.4	ENST00000616054.2
CCL3	NM_002983.3	ENST00000613922.2
CCL4	NM_002984.4	ENST00000615863.2
TBC1D3B	NM_001001417.7	ENST00000611257.5
CCL3L3	NM_001001437.4	ENST00000619989.1
CCL4L2	NM_001291468.2	ENST00000620576.5
TBC1D3I	NM_001291463.2	ENST00000621034.2
TBC1D3G	NM_001291462.2	ENST00000569055.2
TBC1D3H	NM_001123392.4	ENST00000610350.4
ZNHIT3	NM_004773.4	ENST00000617429.5
MYO19	NM_001163735.2	ENST00000614623.5
PIGW	NM_001346754.2	ENST00000614443.2
GGNBP2	NM_024835.5	ENST00000613102.5
DHRS11	NM_024308.4	ENST00000618403.5
MRM1	NM_024864.5	ENST00000614766.5
LHX1	NM_005568.5	ENST00000614239.1
AATF	NM_012138.4	ENST00000619387.5
ACACA	NM_198834.3	ENST00000616317.5
C17orf78	NM_173625.5	ENST00000615133.2
TADA2A	NM_001166105.3	ENST00000615182.5
DUSP14	NM_007026.4	ENST00000617516.5
SYNRG	NM_007247.6	ENST00000612223.5
DDX52	NM_007010.5	ENST00000617633.5
HNF1B	NM_000458.4	ENST00000617811.5
TBC1D3K	NM_001291464.2	ENST00000620247.2
TBC1D3L	NM_001369500.1	ENST00000612727.5
TBC1D3D	NM_001291465.2	ENST00000616101.5
TBC1D3C	NM_001001418.6	ENST00000622206.2
TBC1D3E	NM_001291466.2	ENST00000621587.2
TBC1D3	NM_001123391.4	ENST00000620215.3
MRPL45	NM_032351.6	ENST00000613675.5
GPR179	NM_001004334.4	ENST00000616987.5
SOCS7	NM_014598.4	ENST00000612932.6
ARHGAP23	NM_001199417.2	ENST00000622683.5
SRCIN1	NM_025248.3	ENST00000617146.5
EPOP	NM_001130677.2	ENST00000621654.2
MLLT6	NM_005937.4	ENST00000621332.5
CISD3	NM_001136498.2	ENST00000613478.2
PCGF2	NM_007144.3	ENST00000620225.5
PSMB3	NM_002795.4	ENST00000619426.5
PIP4K2B	NM_003559.5	ENST00000619039.5
CWC25	NM_017748.5	ENST00000614790.5
SPMAP1	NM_001080465.3	ENST00000614158.2
RPL23	NM_000978.4	ENST00000479035.7
LASP1	NM_006148.4	ENST00000318008.11
LASP1NB	NM_001414697.1	ENST00000583195.3
FBXO47	NM_001008777.3	ENST00000378079.3
PLXDC1	NM_020405.5	ENST00000315392.9
ARL5C	NM_001143968.1	ENST00000269586.12
CACNB1	NM_000723.5	ENST00000394303.8
RPL19	NM_000981.4	ENST00000225430.9
STAC2	NM_198993.5	ENST00000333461.6
FBXL20	NM_032875.3	ENST00000264658.11
MED1	NM_004774.4	ENST00000300651.11
CDK12	NM_016507.4	ENST00000447079.6
NEUROD2	NM_006160.4	ENST00000302584.5
PPP1R1B	NM_032192.4	ENST00000254079.9
STARD3	NM_006804.4	ENST00000336308.10
TCAP	NM_003673.4	ENST00000309889.3
PNMT	NM_002686.4	ENST00000269582.3
PGAP3	NM_033419.5	ENST00000300658.9
ERBB2	NM_004448.4	ENST00000269571.10
MIEN1	NM_032339.5	ENST00000394231.8
GRB7	NM_005310.5	ENST00000309156.9
IKZF3	NM_012481.5	ENST00000346872.8
ZPBP2	NM_199321.3	ENST00000348931.9
GSDMB	NM_001165958.2	ENST00000418519.6
ORMDL3	NM_139280.4	ENST00000304046.7
LRRC3C	NM_001195545.2	ENST00000377924.6
GSDMA	NM_178171.5	ENST00000301659.9
PSMD3	NM_002809.4	ENST00000264639.9
CSF3	NM_172219.3	ENST00000394149.8
MED24	NM_014815.4	ENST00000394128.7
THRA	NM_199334.5	ENST00000450525.7
NR1D1	NM_021724.5	ENST00000246672.4
MSL1	NM_001365919.1	ENST00000398532.9
CASC3	NM_007359.5	ENST00000264645.12
RAPGEFL1	NM_016339.6	ENST00000620260.6
WIPF2	NM_133264.5	ENST00000323571.9
CDC6	NM_001254.4	ENST00000209728.9
RARA	NM_000964.4	ENST00000254066.10
GJD3	NM_152219.4	ENST00000578689.2
TOP2A	NM_001067.4	ENST00000423485.6
IGFBP4	NM_001552.3	ENST00000269593.5
TNS4	NM_032865.6	ENST00000254051.11
CCR7	NM_001838.4	ENST00000246657.2
SMARCE1	NM_003079.5	ENST00000348513.12
KRT222	NM_152349.3	ENST00000394052.5
KRT24	NM_019016.3	ENST00000264651.3
KRT25	NM_181534.4	ENST00000312150.5
KRT26	NM_181539.5	ENST00000335552.5
KRT27	NM_181537.4	ENST00000301656.4
KRT28	NM_181535.3	ENST00000306658.8
KRT10	NM_000421.5	ENST00000269576.6
KRT12	NM_000223.4	ENST00000251643.5
KRT20	NM_019010.3	ENST00000167588.4
KRT23	NM_015515.5	ENST00000209718.8
KRT39	NM_213656.4	ENST00000355612.7
KRT40	NM_001389244.1	ENST00000377755.9
KRTAP3-3	NM_033185.3	ENST00000391586.3
KRTAP3-2	NM_031959.3	ENST00000391587.3
KRTAP3-1	NM_031958.2	ENST00000391588.3
KRTAP1-5	NM_031957.2	ENST00000361883.6
KRTAP1-4	NM_001257305.2	ENST00000377747.5
KRTAP1-3	NM_030966.2	ENST00000344363.7
KRTAP1-1	NM_030967.3	ENST00000306271.5
KRTAP2-1	NM_001123387.1	ENST00000391419.3
KRTAP2-2	NM_033032.3	ENST00000398477.1
KRTAP2-3	NM_001165252.2	ENST00000391418.3
KRTAP2-4	NM_033184.4	ENST00000394015.3
KRTAP4-7	NM_033061.4	ENST00000391417.6
KRTAP4-8	NM_031960.3	ENST00000333822.5
KRTAP4-16	NM_001396067.1	ENST00000440582.1
KRTAP4-9	NM_001146041.1	ENST00000391415.2
KRTAP4-11	NM_033059.4	ENST00000391413.4
KRTAP4-12	NM_031854.3	ENST00000394014.2
KRTAP4-6	NM_030976.2	ENST00000345847.5
KRTAP4-5	NM_033188.4	ENST00000343246.6
KRTAP4-4	NM_032524.2	ENST00000390661.5
KRTAP4-3	NM_033187.2	ENST00000391356.4
KRTAP4-2	NM_033062.4	ENST00000377726.3
KRTAP4-1	NM_001386841.1	ENST00000398472.2
KRTAP9-1	NM_001190460.1	ENST00000398470.1
KRTAP9-2	NM_031961.3	ENST00000377721.3
KRTAP9-3	NM_031962.3	ENST00000411528.4
KRTAP9-8	NM_031963.3	ENST00000254072.7
KRTAP9-4	NM_033191.3	ENST00000334109.3
KRTAP9-9	NM_030975.2	ENST00000394008.1
KRTAP9-6	NM_001277331.1	ENST00000391355.2
KRTAP9-7	NM_001277332.1	ENST00000391354.2
KRTAP29-1	NM_001257309.1	ENST00000391353.1
KRTAP16-1	NM_001146182.2	ENST00000391352.2
KRTAP17-1	NM_031964.2	ENST00000334202.5
KRT33A	NM_004138.4	ENST00000007735.4
KRT33B	NM_002279.5	ENST00000251646.8
KRT34	NM_001386014.1	ENST00000394001.3
KRT31	NM_002277.3	ENST00000251645.3
KRT37	NM_003770.5	ENST00000225550.4
KRT38	NM_006771.4	ENST00000246646.4
KRT32	NM_002278.3	ENST00000225899.4
KRT35	NM_002280.6	ENST00000246639.7
KRT36	NM_003771.5	ENST00000328119.11
KRT13	NM_153490.3	ENST00000246635.8
KRT15	NM_002275.4	ENST00000254043.8
KRT19	NM_002276.5	ENST00000361566.7
KRT9	NM_000226.4	ENST00000246662.9
KRT14	NM_000526.5	ENST00000167586.7
KRT16	NM_005557.4	ENST00000301653.9
KRT17	NM_000422.3	ENST00000311208.13
EIF1	NM_005801.4	ENST00000469257.2
GAST	NM_000805.5	ENST00000329402.4
HAP1	NM_177977.3	ENST00000347901.9
JUP	NM_002230.4	ENST00000393931.8
P3H4	NM_006455.3	ENST00000393928.6
FKBP10	NM_021939.4	ENST00000321562.9
NT5C3B	NM_052935.5	ENST00000435506.7
KLHL10	NM_152467.5	ENST00000293303.5
KLHL11	NM_018143.3	ENST00000319121.4
ACLY	NM_001096.3	ENST00000352035.7
ODAD4	NM_031421.5	ENST00000377540.6
CNP	NM_033133.5	ENST00000393892.8
DNAJC7	NM_003315.4	ENST00000457167.9
NKIRAS2	NM_017595.6	ENST00000393885.9
ZNF385C	NM_001392013.1	ENST00000692273.1
C17orf113	NM_001358661.2	ENST00000587304.3
DHX58	NM_024119.3	ENST00000251642.8
KAT2A	NM_021078.3	ENST00000225916.10
HSPB9	NM_033194.3	ENST00000565659.2
RAB5C	NM_004583.4	ENST00000346213.9
KCNH4	NM_012285.3	ENST00000264661.4
HCRT	NM_001524.1	ENST00000293330.1
GHDC	NM_032484.5	ENST00000587427.6
STAT5B	NM_012448.4	ENST00000293328.8
STAT5A	NM_001288718.2	ENST00000590949.6
STAT3	NM_139276.3	ENST00000264657.10
CAVIN1	NM_012232.6	ENST00000357037.6
ATP6V0A1	NM_001130021.3	ENST00000343619.9
NAGLU	NM_000263.4	ENST00000225927.7
HSD17B1	NM_000413.4	ENST00000585807.6
COASY	NM_025233.7	ENST00000393818.3
MLX	NM_198204.2	ENST00000435881.7
PSMC3IP	NM_016556.4	ENST00000393795.8
RETREG3	NM_178126.4	ENST00000309428.10
TUBG1	NM_001070.5	ENST00000251413.8
TUBG2	NM_016437.3	ENST00000251412.8
PLEKHH3	NM_024927.5	ENST00000591022.6
CCR10	NM_016602.3	ENST00000332438.4
CNTNAP1	NM_003632.3	ENST00000264638.9
EZH1	NM_001991.5	ENST00000428826.7
RAMP2	NM_005854.3	ENST00000253796.10
VPS25	NM_032353.4	ENST00000253794.7
WNK4	NM_032387.5	ENST00000246914.10
COA3	NM_001040431.3	ENST00000328434.8
CNTD1	NM_173478.3	ENST00000588408.6
BECN1	NM_001313998.2	ENST00000590099.6
PSME3	NM_005789.4	ENST00000590720.6
AOC2	NM_009590.4	ENST00000253799.8
AOC3	NM_003734.4	ENST00000308423.7
G6PC1	NM_000151.4	ENST00000253801.7
AARSD1	NM_001261434.2	ENST00000427569.7
PTGES3L	NM_001261430.2	ENST00000591916.7
RUNDC1	NM_173079.5	ENST00000361677.6
RPL27	NM_000988.5	ENST00000253788.12
IFI35	NM_001330230.2	ENST00000415816.7
VAT1	NM_006373.4	ENST00000355653.8
RND2	NM_005440.5	ENST00000587250.4
BRCA1	NM_007294.4	ENST00000357654.9
NBR1	NM_005899.5	ENST00000590996.6
TMEM106A	NM_145041.4	ENST00000612339.4
CCDC200	NM_001363254.2	ENST00000636331.2
ARL4D	NM_001661.4	ENST00000320033.5
DHX8	NM_004941.3	ENST00000262415.8
ETV4	NM_001079675.5	ENST00000319349.10
MEOX1	NM_004527.4	ENST00000318579.9
SOST	NM_025237.3	ENST00000301691.3
DUSP3	NM_004090.4	ENST00000226004.8
CFAP97D1	NM_001136483.3	ENST00000449302.8
MPP3	NM_001932.6	ENST00000398389.9
CD300LG	NM_145273.4	ENST00000317310.5
MPP2	NM_005374.5	ENST00000269095.9
PPY	NM_002722.5	ENST00000225992.8
PYY	NM_001394028.1	ENST00000692052.1
NAGS	NM_153006.3	ENST00000293404.8
TMEM101	NM_032376.4	ENST00000206380.8
LSM12	NM_001371445.1	ENST00000293406.8
G6PC3	NM_138387.4	ENST00000269097.9
HDAC5	NM_005474.5	ENST00000682912.1
HROB	NM_001171251.3	ENST00000585683.6
ASB16	NM_080863.5	ENST00000293414.6
TMUB2	NM_001076674.3	ENST00000538716.7
ATXN7L3	NM_001382309.1	ENST00000587097.6
UBTF	NM_014233.4	ENST00000436088.6
SLC4A1	NM_000342.4	ENST00000262418.12
RUNDC3A	NM_001144825.2	ENST00000426726.8
SLC25A39	NM_001143780.3	ENST00000377095.10
GRN	NM_002087.4	ENST00000053867.8
FAM171A2	NM_198475.3	ENST00000293443.12
ITGA2B	NM_000419.5	ENST00000262407.6
GPATCH8	NM_001002909.4	ENST00000591680.6
FZD2	NM_001466.4	ENST00000315323.5
MEIOC	NM_001145080.3	ENST00000409122.7
CCDC43	NM_144609.3	ENST00000315286.13
DBF4B	NM_145663.3	ENST00000315005.8
ADAM11	NM_002390.6	ENST00000200557.11
GJC1	NM_005497.4	ENST00000592524.6
HIGD1B	NM_016438.4	ENST00000253410.3
EFTUD2	NM_004247.4	ENST00000426333.7
CCDC103	NM_213607.3	ENST00000417826.3
GFAP	NM_002055.5	ENST00000588735.3
FAM187A	NM_001258400.2	ENST00000331733.5
KIF18B	NM_001265577.2	ENST00000593135.6
C1QL1	NM_006688.5	ENST00000253407.4
DCAKD	NM_001288655.2	ENST00000651974.1
NMT1	NM_021079.5	ENST00000258960.7
PLCD3	NM_133373.5	ENST00000619929.5
ACBD4	NM_001135705.3	ENST00000321854.13
HEXIM1	NM_006460.3	ENST00000332499.4
HEXIM2	NM_001303441.2	ENST00000589230.6
FMNL1	NM_005892.4	ENST00000331495.8
SPATA32	NM_152343.3	ENST00000331780.5
MAP3K14	NM_003954.5	ENST00000344686.8
ARHGAP27	NM_001282290.2	ENST00000685559.1
PLEKHM1	NM_014798.3	ENST00000430334.8
CRHR1	NM_004382.5	ENST00000314537.10
SPPL2C	NM_175882.3	ENST00000329196.7
MAPT	NM_001377265.1	ENST00000262410.10
STH	NM_001007532.3	ENST00000537309.1
KANSL1	NM_015443.4	ENST00000432791.7
LRRC37A	NM_014834.4	ENST00000320254.5
ARL17B	NM_001039083.5	ENST00000450673.4
LRRC37A2	NM_001006607.3	ENST00000576629.6
ARL17A	NM_001113738.2	ENST00000336125.6
NSF	NM_006178.4	ENST00000398238.8
WNT3	NM_030753.5	ENST00000225512.6
WNT9B	NM_003396.3	ENST00000290015.7
GOSR2	NM_004287.5	ENST00000640051.2
RPRML	NM_203400.5	ENST00000322329.5
CDC27	NM_001256.6	ENST00000066544.8
MYL4	NM_002476.2	ENST00000393450.5
ITGB3	NM_000212.3	ENST00000559488.7
EFCAB13	NM_152347.5	ENST00000331493.7
NPEPPS	NM_006310.4	ENST00000322157.9
KPNB1	NM_002265.6	ENST00000290158.9
TBKBP1	NM_001394755.1	ENST00000578982.6
TBX21	NM_013351.2	ENST00000177694.2
OSBPL7	NM_145798.3	ENST00000007414.8
MRPL10	NM_145255.4	ENST00000351111.7
LRRC46	NM_033413.4	ENST00000269025.9
SCRN2	NM_138355.4	ENST00000290216.14
SP6	NM_001258248.2	ENST00000536300.2
SP2	NM_003110.6	ENST00000376741.5
PNPO	NM_018129.4	ENST00000642017.2
PRR15L	NM_024320.4	ENST00000300557.3
CDK5RAP3	NM_176096.3	ENST00000338399.9
COPZ2	NM_016429.4	ENST00000621465.5
NFE2L1	NM_003204.3	ENST00000362042.8
CBX1	NM_001127228.2	ENST00000225603.9
SNX11	NM_013323.3	ENST00000359238.7
SKAP1	NM_003726.4	ENST00000336915.11
HOXB1	NM_002144.4	ENST00000239174.7
HOXB2	NM_002145.4	ENST00000330070.6
HOXB3	NM_001384749.1	ENST00000498678.6
HOXB4	NM_024015.5	ENST00000332503.6
HOXB5	NM_002147.4	ENST00000239151.6
HOXB6	NM_018952.5	ENST00000225648.4
HOXB7	NM_004502.4	ENST00000239165.9
HOXB8	NM_024016.4	ENST00000239144.5
